day,temperature,mean_temperature
0.287497989,31.04184289,25
0.803126151,20.80893839,25
1.309932173,31.47373856,25
1.770032746,20.42050473,25
2.268224207,27.07953419,25
2.827651702,24.71331936,25
3.320653669,28.95923393,25
3.791548389,22.92527907,25
4.292230808,30.74260367,25
4.809000659,21.04058444,25
5.263185208,32.23639963,25
5.773623876,19.59038023,25
6.252717998,29.8691469,25
6.773431865,22.00109498,25
7.297467008,28.1774366,25
7.798668376,23.73607269,25
8.289490755,26.96847901,25
8.849333409,24.79531337,25
9.267399077,31.69584892,25
9.780328703,20.20812467,25
10.28215281,28.55633456,25
10.80847133,23.29444672,25
11.30614384,29.71216469,25
11.85446582,22.18188399,25
12.3329372,32.17107687,25
12.79002787,19.7182364,25
13.30254233,33.03746296,25
13.83633373,18.75046057,25
14.31106867,27.00221072,25
14.81694059,24.73265022,25
15.28430645,29.55777724,25
15.77928042,22.22067546,25
16.27601883,28.20403276,25
16.8038942,23.66607939,25
17.26887289,27.38117355,25
17.80038091,24.53240061,25
18.27220974,31.43280643,25
18.81305884,20.42764029,25
19.32090276,31.57506344,25
19.72651365,20.18412326,25