hr,16.dtr9,16.dtr12,20.dtr9,20.dtr12,24.dtr9,24.dtr12,28.dtr9,28.dtr12,32.dtr9,32.dtr12
6,12.0182416,10.6909888,16.0182416,14.6909888,20.0182416,18.6909888,24.0182416,22.6909888,28.0182416,26.6909888
6.5,12.95899777,11.94533036,16.95899777,15.94533036,20.95899777,19.94533036,24.95899777,23.94533036,28.95899777,27.94533036
7,13.88944682,13.18592909,17.88944682,17.18592909,21.88944682,21.18592909,25.88944682,25.18592909,29.88944682,29.18592909
7.5,14.79939455,14.39919273,18.79939455,18.39919273,22.79939455,22.39919273,26.79939455,26.39919273,30.79939455,30.39919273
8,15.67887139,15.57182852,19.67887139,19.57182852,23.67887139,23.57182852,27.67887139,27.57182852,31.67887139,31.57182852
8.5,16.5182416,16.6909888,20.5182416,20.6909888,24.5182416,24.6909888,28.5182416,28.6909888,32.5182416,32.6909888
9,17.30830887,17.74441183,21.30830887,21.74441183,25.30830887,25.74441183,29.30830887,29.74441183,33.30830887,33.74441183
9.5,18.04041706,18.72055608,22.04041706,22.72055608,26.04041706,26.72055608,30.04041706,30.72055608,34.04041706,34.72055608
10,18.70654503,19.60872671,22.70654503,23.60872671,26.70654503,27.60872671,30.70654503,31.60872671,34.70654503,35.60872671
10.5,19.29939455,20.39919273,23.29939455,24.39919273,27.29939455,28.39919273,31.29939455,32.39919273,35.29939455,36.39919273
11,19.81247023,21.08329365,23.81247023,25.08329365,27.81247023,29.08329365,31.81247023,33.08329365,35.81247023,37.08329365
11.5,20.24015072,21.65353429,24.24015072,25.65353429,28.24015072,29.65353429,32.24015072,33.65353429,36.24015072,37.65353429
12,20.57775025,22.103667,24.57775025,26.103667,28.57775025,30.103667,32.57775025,34.103667,36.57775025,38.103667
12.5,20.82157001,22.42876001,24.82157001,26.42876001,28.82157001,30.42876001,32.82157001,34.42876001,36.82157001,38.42876001
13,20.96893866,22.62525154,24.96893866,26.62525154,28.96893866,30.62525154,32.96893866,34.62525154,36.96893866,38.62525154
13.5,21.0182416,22.6909888,25.0182416,26.6909888,29.0182416,30.6909888,33.0182416,34.6909888,37.0182416,38.6909888
14,20.96893866,22.62525154,24.96893866,26.62525154,28.96893866,30.62525154,32.96893866,34.62525154,36.96893866,38.62525154
14.5,20.82157001,22.42876001,24.82157001,26.42876001,28.82157001,30.42876001,32.82157001,34.42876001,36.82157001,38.42876001
15,20.57775025,22.103667,24.57775025,26.103667,28.57775025,30.103667,32.57775025,34.103667,36.57775025,38.103667
15.5,20.24015072,21.65353429,24.24015072,25.65353429,28.24015072,29.65353429,32.24015072,33.65353429,36.24015072,37.65353429
16,19.81247023,21.08329365,23.81247023,25.08329365,27.81247023,29.08329365,31.81247023,33.08329365,35.81247023,37.08329365
16.5,19.29939455,20.39919273,23.29939455,24.39919273,27.29939455,28.39919273,31.29939455,32.39919273,35.29939455,36.39919273
17,18.70654503,19.60872671,22.70654503,23.60872671,26.70654503,27.60872671,30.70654503,31.60872671,34.70654503,35.60872671
17.5,18.04041706,18.72055608,22.04041706,22.72055608,26.04041706,26.72055608,30.04041706,30.72055608,34.04041706,34.72055608
18,17.30830887,17.74441183,21.30830887,21.74441183,25.30830887,25.74441183,29.30830887,29.74441183,33.30830887,33.74441183
18.5,16.65414045,16.87218727,20.65414045,20.87218727,24.65414045,24.87218727,28.65414045,28.87218727,32.65414045,32.87218727
19,16.07683885,16.1024518,20.07683885,20.1024518,24.07683885,24.1024518,28.07683885,28.1024518,32.07683885,32.1024518
19.5,15.56737197,15.42316263,19.56737197,19.42316263,23.56737197,23.42316263,27.56737197,27.42316263,31.56737197,31.42316263
20,15.11776904,14.82369205,19.11776904,18.82369205,23.11776904,22.82369205,27.11776904,26.82369205,31.11776904,30.82369205
20.5,14.72099583,14.29466111,18.72099583,18.29466111,22.72099583,22.29466111,26.72099583,26.29466111,30.72099583,30.29466111
21,14.37084471,13.82779295,18.37084471,17.82779295,22.37084471,21.82779295,26.37084471,25.82779295,30.37084471,29.82779295
21.5,14.06183743,13.41578324,18.06183743,17.41578324,22.06183743,21.41578324,26.06183743,25.41578324,30.06183743,29.41578324
22,13.78913946,13.05218595,17.78913946,17.05218595,21.78913946,21.05218595,25.78913946,25.05218595,29.78913946,29.05218595
22.5,13.54848435,12.73131247,17.54848435,16.73131247,21.54848435,20.73131247,25.54848435,24.73131247,29.54848435,28.73131247
23,13.33610696,12.44814261,17.33610696,16.44814261,21.33610696,20.44814261,25.33610696,24.44814261,29.33610696,28.44814261
23.5,13.14868457,12.19824609,17.14868457,16.19824609,21.14868457,20.19824609,25.14868457,24.19824609,29.14868457,28.19824609
0,12.98328489,11.97771319,16.98328489,15.97771319,20.98328489,19.97771319,24.98328489,23.97771319,28.98328489,27.97771319
0.5,12.83732019,11.78309359,16.83732019,15.78309359,20.83732019,19.78309359,24.83732019,23.78309359,28.83732019,27.78309359
1,12.70850679,11.61134239,16.70850679,15.61134239,20.70850679,19.61134239,24.70850679,23.61134239,28.70850679,27.61134239
1.5,12.59482936,11.45977249,16.59482936,15.45977249,20.59482936,19.45977249,24.59482936,23.45977249,28.59482936,27.45977249
2,12.49450939,11.32601252,16.49450939,15.32601252,20.49450939,19.32601252,24.49450939,23.32601252,28.49450939,27.32601252
2.5,12.40597732,11.20796976,16.40597732,15.20796976,20.40597732,19.20796976,24.40597732,23.20796976,28.40597732,27.20796976
3,12.32784804,11.10379739,16.32784804,15.10379739,20.32784804,19.10379739,24.32784804,23.10379739,28.32784804,27.10379739
3.5,12.2588992,11.0118656,16.2588992,15.0118656,20.2588992,19.0118656,24.2588992,23.0118656,28.2588992,27.0118656
4,12.19805206,10.93073608,16.19805206,14.93073608,20.19805206,18.93073608,24.19805206,22.93073608,28.19805206,26.93073608
4.5,12.14435465,10.85913953,16.14435465,14.85913953,20.14435465,18.85913953,24.14435465,22.85913953,28.14435465,26.85913953
5,12.09696684,10.79595579,16.09696684,14.79595579,20.09696684,18.79595579,24.09696684,22.79595579,28.09696684,26.79595579
5.5,12.05514726,10.74019634,16.05514726,14.74019634,20.05514726,18.74019634,24.05514726,22.74019634,28.05514726,26.74019634
