day,temperature
1.025909467,29.2110236
1.343284682,28.98760488
2.821300343,27.92128826
3.274945705,27.88320553
3.834962584,28.06727208
4.108239901,28.35712402
4.4963153,29.02568762
4.768791925,29.40334142
5.160407735,29.68367267
5.828039704,29.95352155
6.695239676,29.95121351
7.44185562,30.20466566
8.06998442,30.48393906
8.660037605,30.61609522
9.097219847,30.22212025
9.415683233,29.87937562
9.930952977,29.56730875
10.56398791,29.30858794
11.03969022,29.01299337
11.67281787,28.74410617
12.53974422,28.77180271
13.40789134,28.66563265
14.25968434,28.78103488
14.67226812,28.33385124
14.80626353,28.04823072
14.99383781,27.65047769
15.50464379,27.21041052
15.51199197,27.02211254
16.21814488,27.39024566
16.60880565,27.77530444
16.92127831,28.08948701
17.19471963,28.36135544
17.50784249,28.60423867
18.37218838,28.91490147
19.16092458,28.8719462
19.59704796,28.59408327
20.07448257,28.10852838
20.30075056,27.79011439
20.55338351,27.46217972
20.78052937,27.04750103
20.91905055,26.26559596
20.8357675,26.75341768
21.63177968,25.91259702
22.22257657,25.9632009
22.53510711,26.27103635
22.84775342,26.56617756
23.39656736,26.89813208
24.22376498,26.95998768
24.85674108,26.7077184
25.17498066,26.38951598
25.41430089,26.08062267
25.96917115,25.74845658
25.87525539,25.48117219
25.89456205,25.28511663
26.47954992,25.97272159
26.79048873,26.45510291
27.062647,26.86766589
27.67519413,27.1266285
27.84728707,27.27388174
28.24543383,26.83804598
29.03834918,26.33681563
29.90407581,26.49607071
30.57753275,26.12716824
31.25018637,25.84635614
31.802245,25.82250635
31.99674575,26.10601116
32.15198362,26.37259032
32.30698998,26.66455796
32.81625935,27.01047615
32.92862963,27.17514872
33.84190435,26.92305896
34.45294236,27.34750837
34.35217087,27.15963354
34.89877374,27.73404814
35.17159765,28.07361921
35.40520692,28.39097534
35.67808872,28.72419929
35.99090867,29.00029912
36.34262491,29.33352307
36.77361935,29.61808574
37.24392491,29.9142848
37.67487498,30.20371359
38.06645413,30.48806469
38.69456399,30.76941533
39.5623533,30.70248204
40.42856403,30.80865209
41.14039232,30.55443746
41.57698334,30.22529381
41.85550857,29.93967329
42.1341785,29.63818496
42.72678129,29.49075861
43.31808437,29.48585401
43.51858549,29.11137377
43.67926422,28.78132339
43.80067043,28.4354052
44.00113296,28.06515638
44.24095484,27.70125467
44.52004923,27.35322078
44.83807851,27.05807957
45.43225198,26.73841539
46.22039534,26.76047004
46.7756116,26.39036226
47.28958673,26.22025937
48.07960977,26.51645843
48.1755771,26.75087883
48.47366624,26.04888706
48.67432171,25.65748116
48.82056096,25.1818701
48.67578804,25.49668738
49.04476104,24.80205827
49.60733107,24.49003372
50.42164499,24.23572567
51.17283734,23.9873416
52.39678239,23.76680794
52.95017404,23.59678198
1.648312113,28.75036711
2.184925313,28.40675477
4.197855868,28.67400881